CAFORD,DEALERNAME,ADDRESS,FAX,PROV,CITY,LATITUDE,LONGITUDE,PHONE
CAFORD,亳州市远景福润汽车销售服务有限责任公司,安徽省亳州市谯城区古井路1号,0558-5678936,安徽省,亳州市,33.831104,115.760922,#销售:0558-8887999; 服务:0558-5236777
CAFORD,亳州福铄汽车贸易有限公司,安徽省蒙城县汽车产业园园区路,0558-7675826,安徽省,亳州市,33.242618,116.568895,#销售:0558-2800888; 服务:0558-7675818
CAFORD,六安信步汽车销售服务有限公司,六安市金安区经六路8号金太阳国际汽车城,0564-3358020,安徽省,六安市,31.756022,116.568606,#销售:0564-3358018; 服务:0564-3358012
CAFORD,六安之道汽车销售服务有限公司,六安市承接产业转移集中示范区南京路,0564-3838005,安徽省,六安市,31.760237,116.618278,"#销售:0564-3696611,0564-3696622; 服务:0564-3838012"
CAFORD,安徽亚特汽车销售服务有限公司,合肥市望江西路与西二环路交叉口亚夏汽车城（环湖东路19号）,0551-65399551,安徽省,合肥市,31.830511,117.211611,#销售:0551-65399567; 服务:0551-65399555
CAFORD,安徽大步车业销售有限公司,合肥市包河区包河大道与延安路交口东北角,0551-63359888,安徽省,合肥市,31.779447,117.318495,#销售:0551-63406222; 服务:0551-63359882; 进口:0551-64280968
CAFORD,合肥恒信德龙美华汽车销售服务有限公司,安徽省合肥市庐阳区蒙城北路1111号,0551-66019120,安徽省,合肥市,31.917236,117.26556,#销售:0551-66019111; 服务:0551-66019333
CAFORD,合肥万福汽车销售有限公司,合肥市高新区长江西路与长宁大道交口中国长安万有国际汽车城内,0551-65189601,安徽省,合肥市,31.853091,117.111428,#销售:0551-65189600; 服务:0551-65189611
CAFORD,安徽省大步汽车销售服务有限公司,安徽省合肥市北二环路安徽国际汽车城,0551-4280967,安徽省,合肥市,31.883415,117.331931,#销售:0551-4280968; 服务:0551-4280968
CAFORD,安徽省大步新海大道分公司,安徽省合肥市新站区新海大道19号,0551-64396068,安徽省,合肥市,31.894756,117.349503,#销售:0551-64280968; 服务:0551-64280968
CAFORD,安庆环福汽车销售服务有限公司,安徽省安庆市中兴大道203号,0556-5307002,安徽省,安庆市,30.554928,117.05554,#销售:0556-5307000; 服务:0556-5305555
CAFORD,宣城亚夏福嘉汽车销售服务有限公司,宣城市经济开发区兴隆路2号,0563-2625468,安徽省,宣城市,30.942301,118.829917,#销售:0563-2625333; 服务:0563-2627000
CAFORD,宿州福誉通汽车销售服务有限公司,宿州市经济开发区西昌南路东侧白马商城东向南300米,0557-3331530,安徽省,宿州市,33.602512,116.970867,#销售:0557-3332255; 服务:0557-3332277
CAFORD,安徽宏安汽车销售服务有限公司,安徽省宿州市外环南路与宿怀路交叉口西南角鑫旺家居楼下,3609006,安徽省,宿州市,33.605134,116.988918,#0557-2600077;2580666
CAFORD,淮北市良宇汽车销售服务有限公司,淮北市相山区汽车城内骏驰路南,0561-3868080,安徽省,淮北市,33.924289,116.797265,#销售:0561-3892888; 服务:0561-3892888
CAFORD,巢湖大步畅达汽车科技有限公司,巢湖市半汤经济开发区金山路409-414号(巢湖市巢扬学校对面),0551-82318955,安徽省,合肥市,31.635592,117.922251,#销售:0551-82315000; 服务:0551-82318208
CAFORD,芜湖亚夏福迪无为分公司,安徽省芜湖市无为县濡须路1号,,安徽省,芜湖市,31.30982,117.895176,#销售热线：0553-6600007 ;服务热线：0553-6611888
CAFORD,安徽聚福汽车销售服务有限公司,安徽省池州市站前区汽车集聚园内（车管所旁）,0566-2099717,安徽省,池州市,30.617223,117.528262,#销售:0566-2220666; 服务:0566-2020555
CAFORD,铜陵锐钧桥南分公司,安徽省铜陵市铜都大道南段3899号,,安徽省,铜陵市,30.858422,117.757488,#销售热线：0562-6827666 ; 服务热线：0562-6727555
CAFORD,淮北市良宇汽车销售服务有限公司,淮北市相山区汽车城内骏驰路南,0561-3868080,安徽省,淮北市,33.924289,116.797265,#销售:0561-3892888; 服务:0561-3892888
CAFORD,蚌埠市润美汽车销售服务有限公司,蚌埠市高新区迎宾大道国际汽车城,0552-3711177,安徽省,淮南市,32.641,116.99289,#销售:0552-3712255; 服务:0552-3715353
CAFORD,淮南市福久汽车销售服务有限公司,安徽省淮南市经济技术开发区国庆东路,0554-3316192,安徽省,淮南市,32.661023,117.068086,#销售:0554-3311322; 服务:0554-3312811
CAFORD,滁州正丰汽车贸易服务有限公司,滁州市南谯区城南汽车工业园丰乐大道2589号（滁州职业技术学院新校区斜对面）,0550-2187058,安徽省,滁州市,32.246632,118.308343,#销售:0550-2136888; 服务:0550-2136999
CAFORD,滁州正丰天长分公司,滁州天长市广陵东路国际五金城4幢1--6号,0550-7759757,安徽省,滁州市,32.647957,119.020088,#销售:0550-7759759; 服务:0550-7759759
CAFORD,芜湖福禧汽车销售服务有限公司,芜湖市鸠江区万春西路鸠江区法院对面汽车园内,0553-5887158,安徽省,芜湖市,31.374564,118.401261,#销售:0553-5728000; 服务:0553-5727000; 进口:0553-5728000
CAFORD,芜湖亚夏福迪汽车销售服务有限公司,芜湖市三山区长江南路与龙湖路交叉口亚夏汽车财富文化广场,0553-2962558,安徽省,芜湖市,31.203893,118.27019,#销售:0553-2962998; 服务:0553-2963911
CAFORD,马鞍山福联汽车销售服务有限公司,马鞍山市湖西南路3380号152-4（东方汽博城对面）,0555-2109596,安徽省,马鞍山市,31.640413,118.498103,#销售:0555-2109595; 服务:0555-2109582
CAFORD,铜陵市锐钧实业有限责任公司,安徽省铜陵市铜陵国际汽车城,0562-6827518,安徽省,铜陵市,30.937099,117.899242,#销售:0562-6827666; 服务:0562-6827555
CAFORD,铜陵锐钧桥南分公司,安徽省铜陵市铜都大道南段3899号,,安徽省,铜陵市,30.858422,117.757488,#销售热线：0562-6827666 ; 服务热线：0562-6727555
CAFORD,阜阳恒之星汽车贸易有限公司,安徽阜阳市一道河中路63号,0558-3601919,安徽省,阜阳市,32.882224,115.815111,#销售:0558-3160888; 服务:0558-3601155
CAFORD,安徽阜阳恒大旭日汽车贸易有限公司,阜阳市经开区105国道汽贸物流园,0558-3958999,安徽省,阜阳市,32.838695,115.871608,#销售:0558-3957888; 服务:0558-3952999
CAFORD,马鞍山福联汽车销售服务有限公司,马鞍山市湖西南路3380号152-4（东方汽博城对面）,0555-2109596,安徽省,马鞍山市,31.640413,118.498103,#销售:0555-2109595; 服务:0555-2109582
CAFORD,马鞍山福联和县分公司,马鞍山市和县巢宁路与龙潭北路交叉口花鸟市场（天门大酒店斜对门）,0555-5531191,安徽省,马鞍山市,31.731102,118.36049,#销售:0555-5531122; 服务:0555-5531122
CAFORD,芜湖福禧汽车销售服务有限公司,芜湖市鸠江区万春西路鸠江区法院对面汽车园内,0553-5887158,安徽省,芜湖市,31.374564,118.401261,#销售:0553-5728000; 服务:0553-5727000; 进口:0553-5728000
CAFORD,黄山市华轩汽车销售服务有限公司,黄山市经济开发区梅林大道,0559-2588029,安徽省,黄山市,29.768354,118.266631,#销售:0559-2598999; 服务:0559-2539595
CAFORD,黄山华轩歙县分公司,安徽省黄山市歙县徽城镇D村永佳大道,,安徽省,黄山市,29.843609,118.373389,#销售热线：0559- 6979666;服务热线：0316-8937588
CAFORD,亳州远景福润利辛分公司,安徽省亳州市利辛县扬天国际汽贸城,,安徽省,亳州市,33.157964,116.178725,#销售热线：0558-8056555；服务热线：0558-8706555
CAFORD,亳州远景福润涡阳分公司,安徽省亳州市涡阳县大步汽车城,,安徽省,亳州市,33.520307,116.17615,#销售热线：0558-8578000 ； 服务热线：0558-8576000
CAFORD,芜湖亚夏福迪无为分公司,安徽省芜湖市无为县濡须路1号,,安徽省,芜湖市,31.30982,117.895176,#销售热线：0553-6600007 ;服务热线：0553-6611888
CAFORD,重庆九福汽车销售服务有限公司,重庆渝中区菜袁路168号,023-63302152,重庆市,重庆市,29.536765,106.529036,#销售:023-68009595; 服务:023-68005959
CAFORD,重庆安福汽车营销有限公司南坪分公司,重庆市南岸区辅仁路4号,023-62811788,重庆市,重庆市,29.524729,106.575953,#销售:023-62828822; 服务:023-62814999; 进口:023-62828828
CAFORD,重庆安福大石坝分公司,重庆市江北区大庆村（中石油加油站内）,023--67518778,重庆市,重庆市,29.574677,106.500269,#销售:023-67537111; 服务:023-67537111; 进口:023-67537666
CAFORD,重庆安福汽车营销有限公司,重庆市渝北区龙溪红锦大道460号,"023-67531846,023-67537998",重庆市,重庆市,29.600685,106.520976,#销售:023-67537666; 服务:023-67537666
CAFORD,重庆安福大石坝分公司(重庆安福百俊）,江北区大石坝大庆村中石油加油站下行50米,023-67795806,重庆市,重庆市,29.576035,106.499226,#销售:023-67795866; 服务:023-67795866
CAFORD,重庆安博汽车销售有限公司,重庆市北部新区金通路2号汽车博中心C区,023-67308111,重庆市,重庆市,29.643908,106.574207,#销售:023-67308188; 服务:023-67308168; 进口:023-67308188
CAFORD,重庆中汽西南福星汽车有限公司,重庆市九龙坡区二郎路口,023-68613311,重庆市,重庆市,29.516455,106.46312,#销售:023-68885288; 服务:023-68885288; 进口:023-62828828
CAFORD,重庆福冠汽车销售服务有限公司,重庆市巴南区渝南大道33号,023-62561699,重庆市,重庆市,29.468542,106.562804,#销售:023-62561666; 服务:023-62561555
CAFORD,重庆福兆星汽车营销有限公司,重庆市沙坪坝区梨树湾村腰子堡社杨梨路中段,023-88628703,重庆市,重庆市,29.557363,106.440553,#销售:023-86968686; 服务:023-86968585
CAFORD,万友汽车投资有限公司两江分公司,重庆市北部新区金开大道1230号,023-63419108,重庆市,重庆市,29.674409,106.564353,#销售:023-63035888; 服务:023-68061888
CAFORD,重庆大福汽车销售有限公司,重庆大渡口区重庆轨道交通二号线,023-68930977,重庆市,重庆市,29.467091,106.472375,#销售:023-68930077; 服务:023-68930088
CAFORD,重庆福冠鱼洞维修分公司,重庆市巴南区鱼洞金竹工业园区金竹街26号,,重庆市,重庆市,29.368902,106.520341,#销售:023-62596199; 服务:023-62596199
CAFORD,重庆福兆星璧山分公司,重庆市壁山区壁泉街道壁青北路888号,023-41559893,重庆市,重庆市,29.552957,106.235295,#销售:023-41559898; 服务:023-41559898
CAFORD,重庆汇骏汽车销售有限公司,重庆市北碚区金华路306路,023-86089180,重庆市,重庆市,29.826777,106.418059,#销售:023-86088886; 服务:023-88026860
CAFORD,重庆福驹汽车销售服务有限公司,江津区双福镇绿城路12号圆润工业园区2栋C段,,重庆市,重庆市,29.3907,106.280125,#销售:023-85566555; 服务:023-85567555
CAFORD,重庆福川荣昌分公司,荣昌区昌州街道灵方大道16号,023-49206338,重庆市,重庆市,29.403213,105.627494,#销售:023-46760100
CAFORD,重庆福川汽车销售有限公司,重庆永川区昌州大道中段629号,023-49206338,重庆市,重庆市,29.361597,105.900178,#销售:023-49206222; 服务:023-49206262
CAFORD,重庆万友龙瑞汽车销售服务有限公司,重庆合川区高阳3社工业园B区,023-64291188,重庆市,重庆市,29.954769,106.279126,#销售:023-64291188; 服务:023-64291199
CAFORD,重庆万友龙瑞高望分公司,重庆市合川区汽摩交易中心2号馆,,重庆市,重庆市,30.017199,106.264712,#销售热线：023-81661877
CAFORD,重庆汇骏汽车销售有限公司,重庆市北碚区金华路306路,023-86089180,重庆市,重庆市,29.826777,106.418059,#销售:023-86088886; 服务:023-88026860
CAFORD,重庆福川汽车销售有限公司,重庆永川区昌州大道中段629号,023-49206338,重庆市,重庆市,29.361597,105.900178,#销售:023-49206222; 服务:023-49206262
CAFORD,重庆福川荣昌分公司,荣昌区昌州街道灵方大道16号,023-49206338,重庆市,重庆市,29.403213,105.627494,#销售:023-46760100
CAFORD,重庆福驹汽车销售服务有限公司,江津区双福镇绿城路12号圆润工业园区2栋C段,,重庆市,重庆市,29.3907,106.280125,#销售:023-85566555; 服务:023-85567555
CAFORD,重庆福骏汽车销售服务有限公司,重庆市万州区万明路三峡国际车界(万州车管所旁),023-58887770,重庆市,重庆市,30.768628,108.398868,#销售:023-58889998; 服务:023-58889998
CAFORD,重庆建洲汽车销售服务有限公司,"重庆市涪陵区稻香居委会5组1,2栋(原文化汽修厂)",023-72805699,重庆市,重庆市,29.702711,107.369438,#销售:023-72200999; 服务:023-72200777
CAFORD,重庆建洲创福汽车销售服务有限责任公司,重庆市长寿区文苑南路3号15幢1-3,,重庆市,重庆市,29.849906,107.095134,#销售热线： 023-40610777；服务热线： 023-40421783
CAFORD,重庆建洲创福汽车销售服务有限责任公司,重庆市长寿区文苑南路3号15幢1-3,,重庆市,重庆市,29.849906,107.095134,#销售热线： 023-40610777；服务热线： 023-40421783
CAFORD,重庆建洲汽车销售服务有限公司,"重庆市涪陵区稻香居委会5组1,2栋(原文化汽修厂)",023-72805699,重庆市,重庆市,29.702711,107.369438,#销售:023-72200999; 服务:023-72200777
CAFORD,重庆福骏垫江分公司,重庆市垫江县桂阳街道桂东大道南端299号,,重庆市,重庆市,30.320232,107.338146,#销售:023-74529361; 服务:023-74529361
CAFORD,重庆福骏开州分公司,重庆市开县南山中路249号,023-52990095,重庆市,重庆市,31.162563,108.402516,#销售:023-52990100; 服务:023-52990100
CAFORD,重庆福冠南川分公司,重庆市南川区卫校往北固方向100米（城北路100号）,023-71669222,重庆市,重庆市,29.163411,107.107196,#销售:023-87859666; 服务:023-87859666
CAFORD,重庆建洲重庆福臻汽车销售服务有限公司,重庆市黔江区正阳街道桐坪居委正舟南路南段366号/谊隆时代广场,,重庆市,重庆市,29.479832,108.79895,#销售热线：023-79313777
CAFORD,北京陆鼎CBD服务分公司,北京市朝阳区西大望路20号,,北京市,北京市,39.898105,116.476933,#销售热线：010-85577158
CAFORD,北京陆鼎汽车销售服务有限公司,北京市朝阳区姚家园路甲1号2号展厅（福特店）,"010-65863123,85577152",北京市,北京市,39.939543,116.509965,"#销售:010-85577336,010-85577387; 服务:010-65863025; 进口:010-85577336"
CAFORD,北京庞大亚航汽车销售服务有限公司,北京市朝阳区王四营乡道口村100号庞大汽车园内,010-56230077,北京市,北京市,39.87393,116.547607,#销售: 010-87399393/87399895/87399081 ；服务:010-87399942
CAFORD,北京中进万国汽车销售服务有限公司,北京市亦庄开发区北环东路15号,010-67870173,北京市,北京市,39.810896,116.509965,#销售:010-67860733; 服务:010-67879388; 进口:010-67879388
CAFORD,北京亚奥福瑞汽车销售服务有限公司,北京市朝阳区北苑东路9号,010-84905959,北京市,北京市,40.030625,116.442434,#销售:010-84907878; 服务:010-84905959
CAFORD,北京博瑞裕丰汽车销售服务有限公司,北京市石景山鲁谷大街80号,010-62024734,北京市,北京市,39.893111,116.232026,#销售:010-68636688; 服务:010-68636688
CAFORD,北京北方福瑞汽车销售服务有限公司,北京市海淀区巨山路78号院-2,010-81046811,北京市,北京市,39.949552,116.2274,#销售:010-81046832; 服务:010-81046832; 进口:010-88469009
CAFORD,北京新兴福庆汽车销售服务有限公司,北京市丰台区杜家坎西1号,010-56765890,北京市,北京市,39.842297,116.205019,#销售:010-56765899; 服务:010-56765899
CAFORD,北京中汽福瑞汽车销售服务有限公司,北京市石景山区古城大街国际汽车贸易园区F区7号,010-68867117,北京市,北京市,39.916878,116.179532,#销售:010-68868800; 服务:010-68868800; 进口:010-68868800
CAFORD,北京福通高盛汽车销售服务有限公司,北京市通州区梨园镇大稿村工业园区,010-81559933,北京市,北京市,39.869578,116.635012,#销售:010-81559955; 服务:010-81559955
CAFORD,北京北方长福汽车销售有限责任公司,北京市昌平区回龙观欧得宝国际汽车城1号厅,010-80771142,北京市,北京市,40.075696,116.307325,#销售:010-80771071; 服务:010-80771027
CAFORD,北京百旺长福汽车销售服务有限公司,北京市海淀区西北旺镇绿谷汽车园内,010-82404743,北京市,北京市,40.050655,116.249736,#销售:010-82405353; 服务:010-82405353; 进口:010-82405353
CAFORD,北京北方长福亚市分公司,北京市昌平区北七家镇东三旗村村北北辰汽车交易市场A一区101号,010-81771604,北京市,北京市,40.094451,116.415457,#销售:010-81771606; 服务:010-81771606; 进口:010-80771071
CAFORD,北京长久博鑫汽车销售服务有限公司,北京市顺义区空港物流基地顺航路18号,010-61429209,北京市,北京市,40.1233,116.588148,#销售:010-69478885; 服务:010-69471122
CAFORD,北京华中汽车服务中心,北京房山区阎村炒米店路2号京曼汽车,010-61308309,北京市,北京市,39.720205,116.103044,#销售:010-61308239; 服务:010-61308306
CAFORD,北京排山宏福汽车销售有限公司,北京市密云县十里堡镇彩虹桥西侧路北排山汽车城院内,010-81095827,北京市,北京市,40.354421,116.793397,#销售:010-69099992; 服务:010-81095739
CAFORD,北京排山宏福怀柔分公司,北京市怀柔区怀丰路大中富乐路东三公里桥左侧,,北京市,北京市,40.346121,116.64496,#销售热线：010-69633844
CAFORD,北京长久博鑫平谷分公司,北京市平谷区东高村镇平三路18号,,北京市,北京市,40.106067,117.11473,#销售:010-60995288; 服务:010-60995288
CAFORD,南平华骏南平分公司,福建省南平市延平区西溪路66号（聚龙大酒店旁）,,福建省,南平市,26.588565,118.131817,#销售:0599-6188880; 服务:0599-6188880
CAFORD,厦门信达汽车销售服务有限公司滨北分公司,厦门市湖里区兴隆路88号,0592-2618330,福建省,厦门市,24.506835,118.107612,#销售:0592-5725777; 服务:0592-2618100
CAFORD,厦门信达汽车销售服务有限公司,福建省厦门市湖里区候机楼广场西南侧信达福特4S店,0592-5738588,福建省,厦门市,24.528297,118.131424,#销售:0592-5730777; 服务:0592-5730778; 进口:0592-5730777
CAFORD,厦门信达服务分公司,厦门市湖里区厦门机场物流园区鳌山路禹航综合办公楼,,福建省,厦门市,24.544936,118.126687,#销售热线:0592-5735778
CAFORD,厦门丰骏汽车销售服务有限公司,厦门市海沧区马青路1189,0592-6059190,福建省,厦门市,24.489453,118.002485,#销售:0592-6087888; 服务:0592-6087888; 进口:0592-6087888
CAFORD,厦门信达通瑞汽车销售服务有限公司,厦门集美区后溪镇岩昌路167号（厦门北站汽车物流中心,0592-3131888,福建省,厦门市,24.633452,118.06384,#销售:0592-3131888; 服务:0592-3131999
CAFORD,厦门信达通福汽车销售服务有限公司,厦门同集路同安工业集中区大门右侧,0592-7398880,福建省,厦门市,24.690611,118.141217,#销售:0592-7398777; 服务:0592-7398777
CAFORD,福建丰达汽车销售服务有限公司,宁德东侨工业园区国宝路19号,0593-2311999,福建省,宁德市,26.639086,119.560422,#销售:0593-2311666; 服务:0593-2763377
CAFORD,福建省新辕汽车销售有限公司,福建省泉州市晋江市罗山街道和平南路169号豪信汽车城C7,0595-85611399,福建省,泉州市,24.783818,118.569699,#销售:0595-85611266; 服务:0595-82887666
CAFORD,福建省晋江市亿海万特汽车销售有限公司,福建省晋江市经济开发区（五里园）新雅路13号,0595-85669322,福建省,泉州市,24.743108,118.56015,#销售:0595-88162666; 服务:0595-88329000
CAFORD,福建丰诺汽车销售服务有限公司,福建省泉州市清骺发区迎宾大道（324国道旁）,0595-22366027,福建省,泉州市,24.870546,118.548152,#销售:0595-28978899; 服务:0595-22497060
CAFORD,泉州国骏汽车销售服务有限公司,泉州市洛江区塘西社区万虹公路边,0595-22827999,福建省,泉州市,24.954918,118.658047,#销售:0595-28985888; 服务:0595-28598988
CAFORD,泉州泉福汽车销售服务有限公司,福建省泉州南安市美林街道柳美北路（南安火车站对面）,0595-26692330,福建省,泉州市,24.986252,118.396628,#销售:0595-26529988; 服务:0595-26508898
CAFORD,泉州国骏惠安分公司,泉州市丰泽区海峡体育中心西侧大门内,,福建省,泉州市,24.988788,118.769187,#销售:0595-27653666; 服务:0595-27653666; 进口:0595-28985888
